"Billing Agreements","Ententes de facturation"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connectez votre compte marchand avec une passerelle compatible PCI qui permet aux clients de payer sans quitter votre site."
"Payflow Link and Express Checkout","Payflow Link et Express Checkout"
"Email Associated with PayPal Merchant Account (Optional)","E-mail associé à compte PayPal Merchant (Facultatif)"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Si vous ne disposez pas de plusieurs utilisateurs mis en place sur votre compte, veuillez entrer de nouveau votre vendeur/ Marchant  de Connexion ici."
"Enable Payflow Link","Activer Payflow Link"
"Enable Express Checkout","Activer Express Checkout"
"Basic Settings - PayPal Payflow Link","Paramètres de base - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Solution hébergée Website Payments Pro"
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accepter les paiements avec une caisse compatible PCI qui garde les clients sur votre site."
"Payments Pro Hosted Solution","Paiements Pro Solution Hébergé"
"It is recommended to set this value to ""PayPal"" per store views.","Il est recommandé de fixer cette valeur à ""PayPal"" par vues de magasin."
"Display Express Checkout in the Payment Information step","Afficher le paiement Express dans l'étape des informations de paiement"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Solution Hébergé Pro et Express Checkout"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Réglages de base - PayPal Website Payments Pro Solution Hébergé"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connectez votre compte marchand avec une passerelle entièrement personnalisable qui permet aux clients de payer sans quitter votre site."
"Basic Settings - PayPal Payflow Pro","Réglages de base - PayPal Payflow Pro"
"Credit Card Settings","Paramètres de carte de crédit"
"CVV and AVS Settings","CVV et AVS Paramètres"
"Reject Transaction if:","Rejeter la transaction si:"
"AVS Street Does Not Match","AVS l'adresse de rue ne correspond pas"
"AVS Zip Does Not Match","AVS code postal ne correspond pas"
"International AVS Indicator Does Not Match","Indicateur internationale AVS ne correspond pas"
"Card Security Code Does Not Match","Code de sécurité de la carte ne correspond pas"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Comprend Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro et Express Checkout"
