Root,Racine
"Link to a Specified Product","Lien vers un produit spécifique"
"Select Product...","Choisir un produit..."
"Anchor Custom Text","Présenter un texte personnalisé"
"If empty, we'll use the product name here.","Si vide, nous allons utiliser le nom du produit ici."
"Anchor Custom Title","Présenter un titre personnalisé"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Select Category...","Choisir une catégorie..."
"If empty, we'll use the category name here.","Si vide, nous allons utiliser le nom de la catégorie."
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit en ligne de lien catégorie"
Set,Réglage
"Delete items","Supprimer les éléments"
"Delete selected items?","Supprimer les éléments sélectionnés?"
"Change status","Changer le statut"
"Update attributes","Mettre à jour les attributs"
none,aucun
Overview,"Vue d'ensemble"
